unit,department_name,department_description,department_category,unit_description
161,CPD-Other,General Support Division,CPD,CPD - General Support Division
162,CPD-Other,Records Services Division,CPD,CPD - Records Services Division
163,CPD-Other,Records Inquiry Section,CPD,CPD - Records Inquiry Section
165,CPD-Other,Other Police,CPD,CPD - Other Police
166,CPD-Other,Field Services Section,CPD,CPD - Field Services Section
167,CPD-Other,Evidence and Recovered Property Unit,CPD,CPD - Evidence and Recovered Property Unit
168,CPD-Other,Auto Pounds Section,CPD,CPD - Auto Pounds Section
169,CPD-Other,Police Document Services Section,CPD,CPD - Police Document Services Section
170,CPD-Other,Counter Terrorism/Intelligence Division,CPD,CPD - Counter Terrorism/Intelligence Division
171,CPD-Other,Central Detention Section,CPD,CPD - Central Detention Section
172,CPD-Other,Equipment and Supply Section,CPD,CPD - Equipment and Supply Section
173,CPD-Other,Fleet Liaison,CPD,CPD - Fleet Liaison
175,CPD-Other,Telephone Audit Unit,CPD,CPD - Telephone Audit Unit
177,CPD-Other,Forensics Services Section,CPD,CPD - Forensics Services Section
179,CPD-Other,Reproduction and Graphic Arts,CPD,CPD - Reproduction and Graphic Arts
180,CPD-Other,Bureau of Investigative Services,CPD,CPD - Bureau of Investigative Services
182,CPD-Other,Other Police,CPD,CPD - Other Police
184,CPD-Other,Youth Investigation Section,CPD,CPD - Youth Investigation Section
188,CPD-Other,Organized Crime Division,CPD,CPD - Organized Crime Division
189,CPD-Other,Narcotics Section,CPD,CPD - Narcotics Section
191,CPD-Other,Intelligence Section,CPD,CPD - Intelligence Section
192,CPD-Other,Vice Control Section,CPD,CPD - Vice Control Section
193,CPD-Other,Gang Investigation Section,CPD,CPD - Gang Investigation Section
195,CPD-Other,Office of Management Accountability,CPD,CPD - Office of Management Accountability
196,CPD-Other,Asset Forfeiture Unit,CPD,CPD - Asset Forfeiture Unit
198,CPD-Other,Other Police,CPD,CPD - Other Police
202,CPD-Other,Other Police,CPD,CPD - Other Police
205,CPD-Other,Other Police,CPD,CPD - Other Police
209,CPD-Other,Other Police,CPD,CPD - Other Police
211,CPD-Other,"Deputy Chief, Area 1",CPD,"CPD - Deputy Chief, Area 1"
212,CPD-Other,"Deputy Chief, Area 2",CPD,"CPD - Deputy Chief, Area 2"
213,CPD-Other,"Deputy Chief, Area 3",CPD,"CPD - Deputy Chief, Area 3"
214,CPD-Other,"Deputy Chief, Area 4",CPD,"CPD - Deputy Chief, Area 4"
215,CPD-Other,"Deputy Chief, Area 5",CPD,"CPD - Deputy Chief, Area 5"
216,CPD,Bike Patrol Unit,CPD,CPD - Bike Patrol Unit
217,CPD-Other,Other Police,CPD,CPD - Other Police
225,CPD-Other,Other Police,CPD,CPD - Other Police
231,CPD-Other,Medical Services Section,CPD,CPD - Medical Services Section
232,CPD-Other,Other Police,CPD,CPD - Other Police
235,CPD-Other,Other Police,CPD,CPD - Other Police
241,CPD-Other,Troubled Building Section,CPD,CPD - Troubled Building Section
242,CPD-Other,Other Police,CPD,CPD - Other Police
244,CPD-Other,Other Police,CPD,CPD - Other Police
250,CPD-Other,Other Police,CPD,CPD - Other Police
252,CPD,OEMC,CPD,CPD - OEMC
253,CPD,Target Response Unit,CPD,CPD - Target Response Unit
255,CPD-Other,Other Police,CPD,CPD - Other Police
257,CPD-Other,Other Police,CPD,CPD - Other Police
261,CPD-Other,Court Section,CPD,CPD - Court Section
262,CPD-Other,Other Police,CPD,CPD - Other Police
272,CPD-Other,Other Police,CPD,CPD - Other Police
276,CPD-Other,OEMC Detail,CPD,CPD - OEMC Detail
277,CPD-Other,Forensic Services,CPD,CPD - Forensic Services
